College,Resource,Type,Link,Description,Email
Hunter College,Hunter Food Pantry,Food Insecurity,https://www.hunter.cuny.edu/studentservices/foodpantry,Provides free food packages for students in need.,foodpantry@hunter.cuny.edu
Baruch College,Mental Health,Counseling,https://studentaffairs.baruch.cuny.edu/counseling,Offers confidential mental health services,counseling@baruch.cuny.edu
Queens College,Tutoring,QC Learning Commons,https://www.qc.cuny.edu/academics/qclc/,Free academic tutoring across all subjects,tutoring@qc.cuny.edu
City College of New York,Career Services,Career and Professional Development,https://www.ccny.cuny.edu/cpdi,"Provides support in resume making, internship, and job placement",cpdi@ccny.cuny.edu
Brooklyn College,Office of Financial Aid,Financial Aid,https://www.brooklyn.edu/admissions-aid/financial-aid-scholarships/,"Provides grants, scholarships, and FAFSA guidance",finaid@brooklyn.cuny.edu
John Jay College,John Jay College Food Pantry,Food Insecurity,https://www.jjay.cuny.edu/student-life/wellness-center/food-pantry,Provides free groceries and hygeine products for students,wellness@jjay.cuny.edu
Bronx Community College,Writing Center,Academic Support,https://www.bcc.cuny.edu/campus-resources/writing-center/,Offers writing and tutoring workshops for all students,writingcenter@bcc.cuny.edu
Lehman College,Counseling Center,Mental Health,https://www.lehman.edu/counseling-center/,Provides free counseling and support services to students.,counseling.center@lehman.cuny.edu
York College,Center for Students with Disabilities,Disability Services,https://www.york.cuny.edu/student-development/csd,"Offers accomodations, assistive technology, and advocacy to students with disabilities",disabilityservices@york.cuny.edu
Borough of Manhattan Community College,Student Government Association (SGA),Student Life,https://www.bmcc.cuny.edu/student-affairs/student-activities/sga/,Represents students and connects them with campus events and support,sga@bmcc@cuny.edu
